Designator,Mid X,Mid Y,Layer,Rotation
C1,140.564000mm,-69.024500mm,Bottom,90
C2,141.986000mm,-109.030000mm,Bottom,90
C3,118.110000mm,-105.283000mm,Bottom,90
C4,141.986000mm,-104.580000mm,Bottom,90
C5,121.031000mm,-105.410000mm,Bottom,90
C6,138.811000mm,-104.524000mm,Bottom,90
C7,118.046000mm,-109.654000mm,Bottom,90
C8,138.811000mm,-108.842000mm,Bottom,90
D1,118.193000mm,-56.546500mm,Bottom,0
D2,140.564000mm,-73.615500mm,Bottom,90
D3,140.564000mm,-51.444500mm,Bottom,90
D4,118.193000mm,-53.657500mm,Bottom,0
D5,140.564000mm,-77.865500mm,Bottom,90
D6,118.193000mm,-73.566000mm,Bottom,0
D7,118.193000mm,-76.516000mm,Bottom,0
D8,118.193000mm,-59.496500mm,Bottom,0
R1,140.564000mm,-82.195500mm,Bottom,90
R2,140.564000mm,-64.594500mm,Bottom,90
R3,118.193000mm,-82.416000mm,Bottom,0
R4,140.564000mm,-91.015500mm,Bottom,90
R5,118.193000mm,-65.396500mm,Bottom,0
R6,140.564000mm,-86.605500mm,Bottom,90
R7,118.193000mm,-79.466000mm,Bottom,0
R8,140.564000mm,-60.184500mm,Bottom,90
R9,118.193000mm,-62.446500mm,Bottom,0
R10,140.564000mm,-55.774500mm,Bottom,90
U1,119.824000mm,-97.917000mm,Bottom,0
U2,140.144000mm,-97.472500mm,Bottom,0
