Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",140.564000,-69.024500,90.000000,bottom
"C2","10uF","C_0805_2012Metric",141.986000,-109.030000,90.000000,bottom
"C3","10uF","C_0805_2012Metric",118.110000,-105.283000,90.000000,bottom
"C4","10uF","C_0805_2012Metric",141.986000,-104.580000,90.000000,bottom
"C5","10uF","C_0805_2012Metric",121.031000,-105.410000,90.000000,bottom
"C6","10uF","C_0805_2012Metric",138.811000,-104.524000,90.000000,bottom
"C7","10uF","C_0805_2012Metric",118.046000,-109.654000,90.000000,bottom
"C8","10uF","C_0805_2012Metric",138.811000,-108.842000,90.000000,bottom
"D1","1N4148","D_SOD-323F",118.193000,-56.546500,0.000000,bottom
"D2","1N4148","D_SOD-323F",140.564000,-73.615500,90.000000,bottom
"D3","1N4148","D_SOD-323F",140.564000,-51.444500,90.000000,bottom
"D4","1N4148","D_SOD-323F",118.193000,-53.657500,0.000000,bottom
"D5","1N4148","D_SOD-323F",140.564000,-77.865500,90.000000,bottom
"D6","1N4148","D_SOD-323F",118.193000,-73.566000,0.000000,bottom
"D7","1N4148","D_SOD-323F",118.193000,-76.516000,0.000000,bottom
"D8","1N4148","D_SOD-323F",118.193000,-59.496500,0.000000,bottom
"R1","10k","R_0805_2012Metric",140.564000,-82.195500,90.000000,bottom
"R2","10k","R_0805_2012Metric",140.564000,-64.594500,90.000000,bottom
"R3","100k","R_0805_2012Metric",118.193000,-82.416000,0.000000,bottom
"R4","100k","R_0805_2012Metric",140.564000,-91.015500,90.000000,bottom
"R5","10k","R_0805_2012Metric",118.193000,-65.396500,0.000000,bottom
"R6","10k","R_0805_2012Metric",140.564000,-86.605500,90.000000,bottom
"R7","47k","R_0805_2012Metric",118.193000,-79.466000,0.000000,bottom
"R8","47k","R_0805_2012Metric",140.564000,-60.184500,90.000000,bottom
"R9","1k","R_0805_2012Metric",118.193000,-62.446500,0.000000,bottom
"R10","1k","R_0805_2012Metric",140.564000,-55.774500,90.000000,bottom
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",119.824000,-97.917000,90.000000,bottom
"U2","TL072","SOIC-8_3.9x4.9mm_P1.27mm",140.144000,-97.472500,90.000000,bottom
